iter	Passed	Remaining
0	18	5522
1	35	5299
2	52	5173
3	69	5123
4	85	5041
5	104	5125
6	129	5417
7	146	5365
8	178	5767
9	194	5654
10	212	5586
11	228	5495
12	245	5410
13	262	5355
14	277	5269
15	291	5169
16	305	5084
17	319	5010
18	334	4941
19	377	5289
20	391	5205
21	408	5165
22	423	5100
23	439	5052
24	454	4994
25	500	5276
26	515	5210
27	533	5180
28	547	5118
29	562	5066
30	577	5012
31	592	4958
32	607	4917
33	621	4865
34	636	4822
35	651	4775
36	665	4730
37	711	4906
38	726	4863
39	741	4818
40	756	4781
41	771	4737
42	786	4698
43	801	4660
44	829	4698
45	843	4657
46	878	4730
47	893	4692
48	908	4652
49	922	4614
50	949	4633
51	964	4602
52	982	4579
53	997	4543
54	1014	4519
55	1029	4484
56	1065	4543
57	1102	4599
58	1157	4726
59	1171	4687
60	1194	4679
61	1209	4642
62	1257	4730
63	1293	4768
64	1313	4747
65	1328	4708
66	1356	4717
67	1371	4679
68	1396	4676
69	1413	4642
70	1429	4611
71	1449	4590
72	1537	4781
73	1607	4910
74	1680	5040
75	1743	5138
76	1805	5230
77	1884	5363
78	1974	5524
79	2056	5655
80	2146	5802
81	2215	5890
82	2304	6025
83	2355	6057
84	2406	6087
85	2475	6160
86	2535	6208
87	2598	6260
88	2672	6336
89	2762	6445
90	2841	6526
91	2911	6582
92	2962	6593
93	3008	6592
94	3024	6526
95	3092	6571
96	3118	6526
97	3146	6485
98	3164	6425
99	3184	6368
100	3202	6309
101	3219	6248
102	3236	6190
103	3275	6172
104	3321	6169
105	3338	6110
106	3358	6058
107	3378	6006
108	3395	5950
109	3441	5944
110	3455	5884
111	3473	5829
112	3487	5771
113	3501	5712
114	3515	5655
115	3529	5599
116	3546	5546
117	3560	5491
118	3603	5480
119	3617	5425
120	3639	5383
121	3654	5331
122	3673	5286
123	3687	5234
124	3702	5182
125	3717	5134
126	3732	5084
127	3747	5035
128	3762	4986
129	3801	4971
130	3815	4922
131	3834	4880
132	3848	4832
133	3862	4785
134	3877	4739
135	3892	4693
136	3908	4650
137	3923	4605
138	3939	4562
139	3954	4519
140	3971	4478
141	3988	4438
142	4007	4399
143	4024	4359
144	4056	4336
145	4120	4345
146	4141	4310
147	4179	4292
148	4196	4252
149	4219	4219
150	4235	4179
151	4256	4144
152	4272	4105
153	4303	4079
154	4320	4041
155	4342	4008
156	4359	3970
157	4395	3950
158	4411	3912
159	4440	3885
160	4461	3851
161	4477	3814
162	4526	3804
163	4543	3767
164	4649	3804
165	4843	3910
166	4959	3950
167	5022	3946
168	5139	3983
169	5229	3999
170	5281	3984
171	5384	4007
172	5472	4017
173	5540	4012
174	5707	4076
175	5763	4060
176	5834	4054
177	5919	4057
178	5993	4051
179	6070	4047
180	6122	4025
181	6151	3988
182	6167	3943
183	6195	3905
184	6238	3878
185	6275	3846
186	6297	3805
187	6328	3770
188	6346	3727
189	6364	3684
190	6381	3641
191	6400	3600
192	6416	3557
193	6470	3535
194	6487	3493
195	6505	3451
196	6519	3408
197	6541	3369
198	6556	3327
199	6575	3287
200	6589	3245
201	6604	3204
202	6626	3166
203	6639	3124
204	6654	3084
205	6669	3043
206	6703	3011
207	6716	2970
208	6745	2937
209	6760	2897
210	6789	2863
211	6805	2824
212	6820	2785
213	6835	2747
214	6849	2708
215	6864	2669
216	6878	2630
217	6898	2594
218	6913	2556
219	6932	2521
220	6947	2483
221	6970	2449
222	6986	2412
223	7039	2388
224	7058	2352
225	7087	2320
226	7102	2284
227	7119	2248
228	7134	2211
229	7149	2175
230	7166	2140
231	7181	2104
232	7196	2069
233	7211	2034
234	7228	1999
235	7243	1964
236	7258	1929
237	7274	1894
238	7354	1877
239	7373	1843
240	7397	1810
241	7425	1779
242	7442	1745
243	7475	1715
244	7491	1681
245	7510	1648
246	7525	1614
247	7543	1581
248	7558	1548
249	7584	1516
250	7599	1483
251	7636	1454
252	7678	1426
253	7766	1406
254	7850	1385
255	7940	1364
256	8007	1339
257	8080	1315
258	8161	1292
259	8232	1266
260	8289	1238
261	8368	1213
262	8458	1189
263	8522	1162
264	8611	1137
265	8690	1110
266	8745	1080
267	8796	1050
268	8881	1023
269	9002	1000
270	9054	968
271	9108	937
272	9166	906
273	9214	874
274	9244	840
275	9261	805
276	9292	771
277	9309	736
278	9330	702
279	9353	668
280	9376	633
281	9391	599
282	9415	565
283	9434	531
284	9451	497
285	9468	463
286	9484	429
287	9501	395
288	9518	362
289	9535	328
290	9551	295
291	9567	262
292	9582	228
293	9598	195
294	9612	162
295	9629	130
296	9644	97
297	9658	64
298	9670	32
299	9684	0
9
293	10463	213
294	10474	177
295	10489	141
296	10503	106
297	10513	70
298	10524	35
299	10535	0
299	10640	0
